"arg_gene_id","contig_name","orf_num_in_contig_A","actual_start_A","actual_end_A","orf_direction_A","ARG_group","ARG_subtype","ARG_mechanism","mge_gene_id","orf_num_in_contig_B","actual_start_B","actual_end_B","orf_direction_B","MGE_major_category","MGE_minor_category","loc_diff","orf_diff"
"k119_28160_length_242144_cov_7.9994_42","k119_28160_length_242144_cov_7.9994",42,40909,42942,1,"multidrug","multidrug__emrB","Efflux pump","k119_28160_length_242144_cov_7.9994_33",33,32516,34204,-1,"replication/recombination/repair","stability/transfer/defense",6705,9
"k119_30221_length_165646_cov_10.0000_60","k119_30221_length_165646_cov_10.0000",60,67682,71894,-1,"multidrug","multidrug__oqxB","Efflux pump","k119_30221_length_165646_cov_10.0000_66",66,77738,79643,-1,"replication/recombination/repair",NA,5844,6
"k119_30880_length_42992_cov_48.4905_43","k119_30880_length_42992_cov_48.4905",43,41456,43489,1,"multidrug","multidrug__emrB","Efflux pump","k119_30880_length_42992_cov_48.4905_34",34,33061,34749,-1,"replication/recombination/repair","stability/transfer/defense",6707,9
"k119_37392_length_251521_cov_31.1454_42","k119_37392_length_251521_cov_31.1454",42,40909,42942,1,"multidrug","multidrug__emrB","Efflux pump","k119_37392_length_251521_cov_31.1454_33",33,32516,34204,-1,"replication/recombination/repair","stability/transfer/defense",6705,9
"k119_38758_length_2616_cov_5.0000_1","k119_38758_length_2616_cov_5.0000",1,339,1904,1,"chloramphenicol","chloramphenicol__cmx","Efflux pump","k119_38758_length_2616_cov_5.0000_2",2,1514,2831,1,"integration/excision",NA,390,1
"k119_38995_length_32882_cov_6.0000_14","k119_38995_length_32882_cov_6.0000",14,13241,14334,1,"beta_lactam","beta_lactam__OXA-348","Enzymatic inactivation","k119_38995_length_32882_cov_6.0000_17",17,15503,16228,1,"replication/recombination/repair",NA,1169,3
"k119_41990_length_19297_cov_6.0000_6","k119_41990_length_19297_cov_6.0000",6,4135,5148,1,"beta_lactam","beta_lactam__PFM-2","","k119_41990_length_19297_cov_6.0000_13",13,16152,16413,1,"integration/excision",NA,11004,7
"k119_42624_length_19178_cov_13.3438_8","k119_42624_length_19178_cov_13.3438",8,5950,8279,-1,"multidrug","multidrug__msbA","Efflux pump","k119_42624_length_19178_cov_13.3438_10",10,10193,10570,-1,"integration/excision",NA,1914,2
"k119_45313_length_47995_cov_9.2067_28","k119_45313_length_47995_cov_9.2067",28,36574,38903,1,"multidrug","multidrug__msbA","Efflux pump","k119_45313_length_47995_cov_9.2067_26",26,33795,34172,1,"integration/excision",NA,2402,2
"k119_45313_length_47995_cov_9.2067_28","k119_45313_length_47995_cov_9.2067",28,36574,38903,1,"multidrug","multidrug__msbA","Efflux pump","k119_45313_length_47995_cov_9.2067_36",36,44271,46032,1,"replication/recombination/repair","partitioning",5368,8
"k119_45857_length_2687_cov_9.0000_2","k119_45857_length_2687_cov_9.0000",2,479,2044,1,"chloramphenicol","chloramphenicol__cmx","Efflux pump","k119_45857_length_2687_cov_9.0000_3",3,1654,2970,1,"integration/excision",NA,390,1
"k119_46133_length_16340_cov_13.0000_9","k119_46133_length_16340_cov_13.0000",9,10462,11550,-1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_46133_length_16340_cov_13.0000_14",14,14398,16723,1,"replication/recombination/repair",NA,2848,5
"k119_46234_length_138395_cov_29.9958_2","k119_46234_length_138395_cov_29.9958",2,597,2926,1,"multidrug","multidrug__msbA","Efflux pump","k119_46234_length_138395_cov_29.9958_10",10,8294,10055,1,"replication/recombination/repair","partitioning",5368,8
"k119_46234_length_138395_cov_29.9958_2","k119_46234_length_138395_cov_29.9958",2,597,2926,1,"multidrug","multidrug__msbA","Efflux pump","k119_46234_length_138395_cov_29.9958_12",12,10319,16276,1,"replication/recombination/repair","transfer,partitioning",7393,10
"k119_46581_length_33204_cov_11.7324_25","k119_46581_length_33204_cov_11.7324",25,27362,28450,-1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_46581_length_33204_cov_11.7324_30",30,31298,33623,1,"replication/recombination/repair",NA,2848,5
"k119_54441_length_47906_cov_16.0359_12","k119_54441_length_47906_cov_16.0359",12,13677,17718,1,"multidrug","multidrug__mexW","Efflux pump","k119_54441_length_47906_cov_16.0359_18",18,20917,23099,-1,"phage","replication,chaperone",3199,6
"k119_54441_length_47906_cov_16.0359_12","k119_54441_length_47906_cov_16.0359",12,13677,17718,1,"multidrug","multidrug__mexW","Efflux pump","k119_54441_length_47906_cov_16.0359_19",19,22609,22997,-1,"phage","structural",4891,7
"k119_54673_length_13867_cov_7.0000_14","k119_54673_length_13867_cov_7.0000",14,10055,14112,-1,"multidrug","multidrug__mexW","Efflux pump","k119_54673_length_13867_cov_7.0000_6",6,3245,3633,1,"phage","structural",6422,8
"k119_54673_length_13867_cov_7.0000_14","k119_54673_length_13867_cov_7.0000",14,10055,14112,-1,"multidrug","multidrug__mexW","Efflux pump","k119_54673_length_13867_cov_7.0000_7",7,3587,5772,1,"phage","replication,chaperone",4283,7
"k119_56154_length_30780_cov_10.0000_18","k119_56154_length_30780_cov_10.0000",18,16993,18081,-1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_56154_length_30780_cov_10.0000_23",23,20731,23056,1,"replication/recombination/repair",NA,2650,5
"k119_56154_length_30780_cov_10.0000_18","k119_56154_length_30780_cov_10.0000",18,16993,18081,-1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_56154_length_30780_cov_10.0000_25",25,24723,25408,-1,"replication/recombination/repair",NA,6642,7
"k119_58462_length_49435_cov_57.4436_14","k119_58462_length_49435_cov_57.4436",14,11245,15287,-1,"multidrug","multidrug__mexW","Efflux pump","k119_58462_length_49435_cov_57.4436_6",6,4226,4614,1,"phage","structural",6631,8
"k119_58462_length_49435_cov_57.4436_14","k119_58462_length_49435_cov_57.4436",14,11245,15287,-1,"multidrug","multidrug__mexW","Efflux pump","k119_58462_length_49435_cov_57.4436_7",7,4570,6752,1,"phage","replication,chaperone",4493,7
"k119_64585_length_33882_cov_12.3711_25","k119_64585_length_33882_cov_12.3711",25,27832,28920,-1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_64585_length_33882_cov_12.3711_30",30,31768,34093,1,"replication/recombination/repair",NA,2848,5
"k119_72181_length_51293_cov_7.9973_38","k119_72181_length_51293_cov_7.9973",38,28939,30519,1,"polymyxin","polymyxin__rosA","Efflux pump","k119_72181_length_51293_cov_7.9973_27",27,21475,22689,1,"phage","lysis/lysogeny,regulation",6250,11
"k119_72181_length_51293_cov_7.9973_39","k119_72181_length_51293_cov_7.9973",39,30462,32703,1,"polymyxin","polymyxin__rosB","Efflux pump","k119_72181_length_51293_cov_7.9973_27",27,21475,22689,1,"phage","lysis/lysogeny,regulation",7773,12
"k119_72181_length_51293_cov_7.9973_39","k119_72181_length_51293_cov_7.9973",39,30462,32703,1,"polymyxin","polymyxin__rosB","Efflux pump","k119_72181_length_51293_cov_7.9973_49",49,41502,42307,-1,"replication/recombination/repair",NA,8799,10
"k119_7241_length_21680_cov_11.0000_3","k119_7241_length_21680_cov_11.0000",3,1599,3928,-1,"multidrug","multidrug__msbA","Efflux pump","k119_7241_length_21680_cov_11.0000_5",5,5842,6219,-1,"integration/excision",NA,1914,2
"k119_72970_length_110307_cov_37.0671_10","k119_72970_length_110307_cov_37.0671",10,9492,10580,1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_72970_length_110307_cov_37.0671_3",3,1796,2485,1,"replication/recombination/repair",NA,7007,7
"k119_72970_length_110307_cov_37.0671_10","k119_72970_length_110307_cov_37.0671",10,9492,10580,1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_72970_length_110307_cov_37.0671_5",5,4629,6954,-1,"replication/recombination/repair",NA,2538,5
"k119_73882_length_4279_cov_7.9529_4","k119_73882_length_4279_cov_7.9529",4,2683,4300,-1,"florfenicol","florfenicol__floR","Efflux pump","k119_73882_length_4279_cov_7.9529_2",2,745,2734,-1,"integration/excision",NA,51,2
"k119_73897_length_29361_cov_18.5671_14","k119_73897_length_29361_cov_18.5671",14,11499,15532,-1,"multidrug","multidrug__mexW","Efflux pump","k119_73897_length_29361_cov_18.5671_7",7,5314,5705,1,"phage","structural",5794,7
"k119_73897_length_29361_cov_18.5671_14","k119_73897_length_29361_cov_18.5671",14,11499,15532,-1,"multidrug","multidrug__mexW","Efflux pump","k119_73897_length_29361_cov_18.5671_8",8,5659,7841,1,"phage","replication,chaperone",3658,6
"k119_75451_length_497475_cov_30.1237_336","k119_75451_length_497475_cov_30.1237",336,339390,341341,-1,"multidrug","multidrug__adeH","Efflux pump","k119_75451_length_497475_cov_30.1237_328",328,331832,333559,-1,"replication/recombination/repair",NA,5831,8
"k119_75451_length_497475_cov_30.1237_336","k119_75451_length_497475_cov_30.1237",336,339390,341341,-1,"multidrug","multidrug__adeH","Efflux pump","k119_75451_length_497475_cov_30.1237_329",329,333127,333787,-1,"replication/recombination/repair",NA,5603,7
"k119_75451_length_497475_cov_30.1237_337","k119_75451_length_497475_cov_30.1237",337,340875,345112,-1,"multidrug","multidrug__adeF","Efflux pump","k119_75451_length_497475_cov_30.1237_328",328,331832,333559,-1,"replication/recombination/repair",NA,7316,9
"k119_75451_length_497475_cov_30.1237_337","k119_75451_length_497475_cov_30.1237",337,340875,345112,-1,"multidrug","multidrug__adeF","Efflux pump","k119_75451_length_497475_cov_30.1237_329",329,333127,333787,-1,"replication/recombination/repair",NA,7088,8
"k119_75451_length_497475_cov_30.1237_338","k119_75451_length_497475_cov_30.1237",338,344061,345686,-1,"multidrug","multidrug__MexE","Efflux pump","k119_75451_length_497475_cov_30.1237_328",328,331832,333559,-1,"replication/recombination/repair",NA,10502,10
"k119_75451_length_497475_cov_30.1237_338","k119_75451_length_497475_cov_30.1237",338,344061,345686,-1,"multidrug","multidrug__MexE","Efflux pump","k119_75451_length_497475_cov_30.1237_329",329,333127,333787,-1,"replication/recombination/repair",NA,10274,9
"k119_75568_length_13794_cov_7.0000_9","k119_75568_length_13794_cov_7.0000",9,7408,9737,-1,"multidrug","multidrug__msbA","Efflux pump","k119_75568_length_13794_cov_7.0000_1",1,23,1784,-1,"replication/recombination/repair","partitioning",5624,8
"k119_75568_length_13794_cov_7.0000_9","k119_75568_length_13794_cov_7.0000",9,7408,9737,-1,"multidrug","multidrug__msbA","Efflux pump","k119_75568_length_13794_cov_7.0000_11",11,11672,12052,-1,"integration/excision","regulation,lysis/lysogeny",1935,2
"k119_77747_length_174575_cov_34.9594_9","k119_77747_length_174575_cov_34.9594",9,6403,7496,-1,"beta_lactam","beta_lactam__OXA-304","Enzymatic inactivation","k119_77747_length_174575_cov_34.9594_6",6,4447,5172,-1,"replication/recombination/repair",NA,1231,3
"k119_7956_length_9392_cov_8.3024_8","k119_7956_length_9392_cov_8.3024",8,7722,8810,1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_7956_length_9392_cov_8.3024_1",1,22,711,1,"replication/recombination/repair",NA,7011,7
"k119_7956_length_9392_cov_8.3024_8","k119_7956_length_9392_cov_8.3024",8,7722,8810,1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_7956_length_9392_cov_8.3024_3",3,2859,5184,-1,"replication/recombination/repair",NA,2538,5
"k119_82944_length_164846_cov_14.0000_74","k119_82944_length_164846_cov_14.0000",74,76263,80289,-1,"multidrug","multidrug__mexW","Efflux pump","k119_82944_length_164846_cov_14.0000_67",67,69252,69640,1,"phage","structural",6623,7
"k119_82944_length_164846_cov_14.0000_74","k119_82944_length_164846_cov_14.0000",74,76263,80289,-1,"multidrug","multidrug__mexW","Efflux pump","k119_82944_length_164846_cov_14.0000_68",68,69595,71777,1,"phage","replication,chaperone",4486,6
"k119_94843_length_65621_cov_9.0293_38","k119_94843_length_65621_cov_9.0293",38,38986,40095,-1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_94843_length_65621_cov_9.0293_30",30,29792,31153,-1,"integration/excision",NA,7833,8
"k127_144089_length_8478_cov_17.0020_4","k127_144089_length_8478_cov_17.0020",4,615,1680,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k127_144089_length_8478_cov_17.0020_7",7,3887,5084,-1,"transfer","conjugation",2207,3
"k127_144089_length_8478_cov_17.0020_4","k127_144089_length_8478_cov_17.0020",4,615,1680,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k127_144089_length_8478_cov_17.0020_9",9,5839,6132,-1,"stability/transfer/defense",NA,4159,5
"k127_144089_length_8478_cov_17.0020_4","k127_144089_length_8478_cov_17.0020",4,615,1680,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k127_144089_length_8478_cov_17.0020_10",10,6101,6454,-1,"stability/transfer/defense",NA,4421,6
"k127_144089_length_8478_cov_17.0020_4","k127_144089_length_8478_cov_17.0020",4,615,1680,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k127_144089_length_8478_cov_17.0020_12",12,6820,8125,1,"replication/recombination/repair","initiation,copy number control,plasmid",5140,8
"k131_121224_length_8482_cov_14.0017_4","k131_121224_length_8482_cov_14.0017",4,780,1845,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_121224_length_8482_cov_14.0017_8",8,4052,5249,-1,"transfer","conjugation",2207,4
"k131_121224_length_8482_cov_14.0017_4","k131_121224_length_8482_cov_14.0017",4,780,1845,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_121224_length_8482_cov_14.0017_10",10,6004,6297,-1,"stability/transfer/defense",NA,4159,6
"k131_121224_length_8482_cov_14.0017_4","k131_121224_length_8482_cov_14.0017",4,780,1845,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_121224_length_8482_cov_14.0017_11",11,6266,6619,-1,"stability/transfer/defense",NA,4421,7
"k131_121224_length_8482_cov_14.0017_4","k131_121224_length_8482_cov_14.0017",4,780,1845,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_121224_length_8482_cov_14.0017_13",13,6985,8290,1,"replication/recombination/repair","initiation,copy number control,plasmid",5140,9
"k131_128963_length_8482_cov_28.9598_2","k131_128963_length_8482_cov_28.9598",2,1181,2246,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_128963_length_8482_cov_28.9598_7",7,3147,4452,-1,"replication/recombination/repair","initiation,copy number control,plasmid",901,5
"k131_128963_length_8482_cov_28.9598_2","k131_128963_length_8482_cov_28.9598",2,1181,2246,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_128963_length_8482_cov_28.9598_9",9,4580,4933,1,"stability/transfer/defense",NA,2334,7
"k131_128963_length_8482_cov_28.9598_2","k131_128963_length_8482_cov_28.9598",2,1181,2246,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_128963_length_8482_cov_28.9598_10",10,4887,5180,1,"stability/transfer/defense",NA,2641,8
"k131_128963_length_8482_cov_28.9598_2","k131_128963_length_8482_cov_28.9598",2,1181,2246,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_128963_length_8482_cov_28.9598_12",12,6161,7358,1,"transfer","conjugation",3915,10
"k131_157678_length_4859_cov_17.0000_2","k131_157678_length_4859_cov_17.0000",2,1363,3928,1,"tetracycline","tetracycline__tet(Q)","Antibiotic target protection","k131_157678_length_4859_cov_17.0000_3",3,3288,3840,1,"integration/excision","regulation",640,1
"k131_173852_length_7401_cov_10.0000_9","k131_173852_length_7401_cov_10.0000",9,4305,6870,-1,"tetracycline","tetracycline__tet(Q)","Antibiotic target protection","k131_173852_length_7401_cov_10.0000_3",3,713,1186,-1,"integration/excision",NA,3119,6
"k131_173852_length_7401_cov_10.0000_9","k131_173852_length_7401_cov_10.0000",9,4305,6870,-1,"tetracycline","tetracycline__tet(Q)","Antibiotic target protection","k131_173852_length_7401_cov_10.0000_5",5,1633,1998,1,"integration/excision",NA,2307,4
"k131_173852_length_7401_cov_10.0000_9","k131_173852_length_7401_cov_10.0000",9,4305,6870,-1,"tetracycline","tetracycline__tet(Q)","Antibiotic target protection","k131_173852_length_7401_cov_10.0000_7",7,2360,4005,-1,"integration/excision",NA,300,2
"k131_173852_length_7401_cov_10.0000_9","k131_173852_length_7401_cov_10.0000",9,4305,6870,-1,"tetracycline","tetracycline__tet(Q)","Antibiotic target protection","k131_173852_length_7401_cov_10.0000_8",8,3886,4438,-1,"integration/excision","regulation",133,1
"k131_188631_length_8482_cov_20.9738_3","k131_188631_length_8482_cov_20.9738",3,1622,2687,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_188631_length_8482_cov_20.9738_8",8,3588,4893,-1,"replication/recombination/repair","initiation,copy number control,plasmid",901,5
"k131_188631_length_8482_cov_20.9738_3","k131_188631_length_8482_cov_20.9738",3,1622,2687,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_188631_length_8482_cov_20.9738_10",10,5021,5374,1,"stability/transfer/defense",NA,2334,7
"k131_188631_length_8482_cov_20.9738_3","k131_188631_length_8482_cov_20.9738",3,1622,2687,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_188631_length_8482_cov_20.9738_11",11,5328,5621,1,"stability/transfer/defense",NA,2641,8
"k131_188631_length_8482_cov_20.9738_3","k131_188631_length_8482_cov_20.9738",3,1622,2687,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_188631_length_8482_cov_20.9738_13",13,6602,7799,1,"transfer","conjugation",3915,10
"k131_19054_length_6323_cov_10.0000_2","k131_19054_length_6323_cov_10.0000",2,2839,5404,1,"tetracycline","tetracycline__tet(Q)","Antibiotic target protection","k131_19054_length_6323_cov_10.0000_3",3,4764,5316,1,"integration/excision","regulation",640,1
"k131_198416_length_8482_cov_17.0020_4","k131_198416_length_8482_cov_17.0020",4,2888,3953,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_198416_length_8482_cov_17.0020_9",9,4854,6159,-1,"replication/recombination/repair","initiation,copy number control,plasmid",901,5
"k131_198416_length_8482_cov_17.0020_4","k131_198416_length_8482_cov_17.0020",4,2888,3953,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_198416_length_8482_cov_17.0020_11",11,6287,6640,1,"stability/transfer/defense",NA,2334,7
"k131_198416_length_8482_cov_17.0020_4","k131_198416_length_8482_cov_17.0020",4,2888,3953,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_198416_length_8482_cov_17.0020_12",12,6594,6887,1,"stability/transfer/defense",NA,2641,8
"k131_204025_length_8482_cov_20.0024_4","k131_204025_length_8482_cov_20.0024",4,647,1712,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_204025_length_8482_cov_20.0024_7",7,3919,5116,-1,"transfer","conjugation",2207,3
"k131_204025_length_8482_cov_20.0024_4","k131_204025_length_8482_cov_20.0024",4,647,1712,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_204025_length_8482_cov_20.0024_9",9,5871,6164,-1,"stability/transfer/defense",NA,4159,5
"k131_204025_length_8482_cov_20.0024_4","k131_204025_length_8482_cov_20.0024",4,647,1712,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_204025_length_8482_cov_20.0024_10",10,6133,6486,-1,"stability/transfer/defense",NA,4421,6
"k131_204025_length_8482_cov_20.0024_4","k131_204025_length_8482_cov_20.0024",4,647,1712,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_204025_length_8482_cov_20.0024_12",12,6852,8157,1,"replication/recombination/repair","initiation,copy number control,plasmid",5140,8
"k131_457706_length_8500_cov_18.9140_13","k131_457706_length_8500_cov_18.9140",13,7583,8648,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_457706_length_8500_cov_18.9140_3",3,2504,3701,-1,"transfer","conjugation",3882,10
"k131_457706_length_8500_cov_18.9140_13","k131_457706_length_8500_cov_18.9140",13,7583,8648,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_457706_length_8500_cov_18.9140_5",5,4456,4749,-1,"stability/transfer/defense",NA,2834,8
"k131_457706_length_8500_cov_18.9140_13","k131_457706_length_8500_cov_18.9140",13,7583,8648,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_457706_length_8500_cov_18.9140_6",6,4718,5071,-1,"stability/transfer/defense",NA,2512,7
"k131_457706_length_8500_cov_18.9140_13","k131_457706_length_8500_cov_18.9140",13,7583,8648,-1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_457706_length_8500_cov_18.9140_8",8,5437,6742,1,"replication/recombination/repair","initiation,copy number control,plasmid",841,5
"k131_48311_length_2904_cov_10.0000_2","k131_48311_length_2904_cov_10.0000",2,612,3169,1,"tetracycline","tetracycline__tet(O)","Antibiotic target protection","k131_48311_length_2904_cov_10.0000_3",3,2583,2812,1,"transfer",NA,586,1
"k131_57766_length_8378_cov_18.0000_10","k131_57766_length_8378_cov_18.0000",10,6614,7679,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_57766_length_8378_cov_18.0000_2",2,229,1534,-1,"replication/recombination/repair","initiation,copy number control,plasmid",5080,8
"k131_57766_length_8378_cov_18.0000_10","k131_57766_length_8378_cov_18.0000",10,6614,7679,1,"macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__erm(F)","Antibiotic target alteration","k131_57766_length_8378_cov_18.0000_4",4,1662,2015,1,"stability/transfer/defense",NA,4599,6
