"qseqid","sseqid","identity","coverage","evalue","length","mismatch","gapopen","gaps","qlen","qstart","qend","slen","sstart","send","contig_name","orf_num_in_contig","orf_start_pos","orf_end_pos","orf_direction","actual_start","actual_end","Tag","Type","Subtype","HMM.category","Mechanism.group","Mechanism.subgroup","Mechanism.subgroup2","SARG3.0_F","SARG3.0_L","SARG3.0_S"
"k141_512_length_24096_cov_8.0000_22","gi|691139985|ref|WP_032053373.1|",97,100,1.46e-271,406,12,0,0,406,1,406,406,1,406,"k141_512_length_24096_cov_8.0000",22,20335,21555,1,20336,21961,"multicomponent system","multidrug","multidrug__MexE","MexE","Efflux pump","","","Yes","Yes","Yes"
"k141_42792_length_16436_cov_7.0000_9","gb|ABO11759.2|ARO:3004573|Acinetobacter",99.8,100,5.99e-310,429,1,0,0,429,1,429,429,1,429,"k141_42792_length_16436_cov_7.0000",9,9985,11274,1,9986,11703,"","fosfomycin","fosfomycin__Acinetobacter baumannii AbaF","Acinetobacter baumannii AbaF","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_22947_length_14190_cov_8.0000_3","gi|1016518516|ref|WP_063098254.1|",98,100,0,508,9,1,1,508,1,508,507,1,507,"k141_22947_length_14190_cov_8.0000",3,1568,3094,1,1569,3602,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_20473_length_11380_cov_9.0000_12","gb|WP_150823473.1|ARO:3006035|OXA-841",99.3,100,5.45e-200,273,2,0,0,273,1,273,273,1,273,"k141_20473_length_11380_cov_9.0000",12,9123,9944,1,9124,10217,"","beta_lactam","beta_lactam__OXA-270","OXA","Enzymatic inactivation","Class D beta-lactamase","","","",""
"k141_10043_length_10911_cov_8.9968_1","gb|WP_016146025.1|ARO:3006313|ADC-138",97.9,100,5.83e-280,383,8,0,0,383,1,383,383,1,383,"k141_10043_length_10911_cov_8.9968",1,203,1354,1,204,1737,"","beta_lactam","beta_lactam__ADC-13","ADC","Enzymatic inactivation","Class C beta-lactamase","","","",""
"k141_4940_length_9748_cov_9.0000_3","gb|BAD89844.2|ARO:3000753|abeM",97.8,100,6.64e-303,448,10,0,0,448,1,448,448,1,448,"k141_4940_length_9748_cov_9.0000",3,2342,3688,-1,2343,4136,"","multidrug","multidrug__abeM","abeM","Efflux pump","MATE transporter","","Yes","Yes","Yes"
"k141_25149_length_7420_cov_105.8195_3","YP_970399",93,99.6,9.47e-181,273,19,0,0,274,2,274,274,2,274,"k141_25149_length_7420_cov_105.8195",3,3560,4384,1,3562,4658,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_49527_length_6768_cov_8.0000_5","gb|CAJ77855.1|ARO:3000779|adeH",91.5,98.8,2.9e-304,480,41,0,0,486,3,482,483,4,483,"k141_49527_length_6768_cov_8.0000",5,4608,6068,-1,4611,6550,"multicomponent system","multidrug","multidrug__adeH","adeH","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_54574_length_5140_cov_3.9814_4","YP_001477378",82.8,95.7,1.27e-224,384,64,1,2,399,14,395,406,17,400,"k141_54574_length_5140_cov_3.9814",4,3013,4212,1,3027,4607,"two-component system","polymyxin","polymyxin__rosA","rosA","Efflux pump","","","Yes","Yes","Yes"
"k141_26496_length_2819_cov_5.0000_1","gb|AAC74000.1|ARO:3003950|msbA",88.8,100,0,582,65,0,0,582,1,582,582,1,582,"k141_26496_length_2819_cov_5.0000",1,530,2278,1,531,2860,"","multidrug","multidrug__msbA","msbA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_171459_length_485892_cov_159.0142_160","gb|AAP43110.2|ARO:3003923|oqxB",83.3,98.6,0,1043,174,0,0,1058,1,1043,1050,1,1043,"k141_171459_length_485892_cov_159.0142",160,182810,185986,-1,182811,187029,"multicomponent system","multidrug","multidrug__oqxB","oqxB","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_14701_length_357976_cov_90.1148_83","gi|896190680|ref|WP_049199932.1|",82.6,98.2,6.95000000000094e-312,551,95,1,1,561,1,551,563,1,550,"k141_14701_length_357976_cov_90.1148",83,94256,95941,-1,94257,96492,"two-component system","polymyxin","polymyxin__rosB","rosB","Efflux pump","","","Yes","Yes","Yes"
"k141_307809_length_257185_cov_77.0105_158","gb|AAC74000.1|ARO:3003950|msbA",82.8,99.8,0,581,100,0,0,582,1,581,582,1,581,"k141_307809_length_257185_cov_77.0105",158,183779,185527,1,183780,186108,"","multidrug","multidrug__msbA","msbA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_33460_length_254421_cov_61.0265_168","gi|740796309|ref|WP_038581593.1|",87.9,100,0,1050,125,2,2,1050,1,1050,1048,1,1048,"k141_33460_length_254421_cov_61.0265",168,187974,191126,1,187975,192176,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_33460_length_254421_cov_61.0265_221","YP_001670703",98.2,99.6,0,1010,18,0,0,1014,1,1010,1014,1,1010,"k141_33460_length_254421_cov_61.0265",221,246379,249423,1,246380,250433,"multicomponent system","multidrug","multidrug__mexW","mexW","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_398452_length_210961_cov_47.0347_133","NP_745564",99.1,100,0,1059,10,0,0,1059,1,1059,1059,1,1059,"k141_398452_length_210961_cov_47.0347",133,157499,160678,-1,157500,161737,"multicomponent system","multidrug","multidrug__MexF","MexF","Efflux pump","","","Yes","Yes","Yes"
"k141_323260_length_197785_cov_30.7598_21","gb|CDO12042.1|ARO:3005053|ArnT",99.6,100,0,551,2,0,0,551,1,551,551,1,551,"k141_323260_length_197785_cov_30.7598",21,19814,21469,-1,19815,22020,"","other_peptide_antibiotics","other_peptide_antibiotics__ArnT","","","","","","",""
"k141_323260_length_197785_cov_30.7598_23","gi|851899656|ref|WP_048211088.1|",80.4,99.4,0,657,129,0,0,661,1,657,660,1,657,"k141_323260_length_197785_cov_30.7598",23,22368,24353,-1,22369,25010,"","polymyxin","polymyxin__arnA","arnA","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_323260_length_197785_cov_30.7598_24","gb|AAC75314.1|ARO:3003578|pmrF",86.5,94.8,7.93e-196,310,42,0,0,327,6,315,322,6,315,"k141_323260_length_197785_cov_30.7598",24,24350,25333,-1,24356,25648,"","polymyxin","polymyxin__pmrF","pmrF","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_323260_length_197785_cov_30.7598_80","gb|CCI79240.1|ARO:3005047|eptB",99.5,100,0,557,3,0,0,557,1,557,574,18,574,"k141_323260_length_197785_cov_30.7598",80,99989,101662,-1,99990,102219,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","","",""
"k141_455035_length_196424_cov_18.7430_122","gb|BAE78116.1|ARO:3003576|eptA",84.6,100,0,547,84,0,0,547,1,547,547,1,547,"k141_455035_length_196424_cov_18.7430",122,131715,133358,-1,131716,133905,"","polymyxin","polymyxin__eptA","eptA","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_159410_length_149070_cov_90.1649_8","gi|908735593|ref|WP_049858177.1|",81.4,99.2,9.02e-303,506,94,0,0,510,3,508,512,4,509,"k141_159410_length_149070_cov_90.1649",8,9424,10956,-1,9427,11464,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_203057_length_111658_cov_61.2268_30","gb|AAG07064.1|ARO:3003693|mexK",82.7,99.9,0,1020,176,0,0,1021,1,1020,1025,1,1020,"k141_203057_length_111658_cov_61.2268",30,29889,32954,-1,29890,33974,"multicomponent system","multidrug","multidrug__mexK","mexK","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_87627_length_98475_cov_17.0000_77","gi|757779587|ref|WP_042998171.1|",100,100,0,494,0,0,0,494,1,494,494,1,494,"k141_87627_length_98475_cov_17.0000",77,75298,76782,1,75299,77276,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_87627_length_98475_cov_17.0000_91","YP_002042472",98.5,100,3.11e-190,273,4,0,0,273,1,273,273,1,273,"k141_87627_length_98475_cov_17.0000",91,90585,91406,-1,90586,91679,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_259802_length_89408_cov_18.0585_80","gb|AAC76297.1|ARO:3000499|acrE",87.5,97.4,3.3e-228,377,47,0,0,387,1,377,385,1,377,"k141_259802_length_89408_cov_18.0585",80,79718,80881,1,79719,81258,"multicomponent system","multidrug","multidrug__acrE","acrE","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_259802_length_89408_cov_18.0585_81","gi|447196024|ref|WP_001273280.1|",92.7,99.9,0,1036,76,0,0,1037,1,1036,1037,1,1036,"k141_259802_length_89408_cov_18.0585",81,80893,84006,1,80894,85042,"multicomponent system","multidrug","multidrug__acrF","acrF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_260671_length_86944_cov_55.8816_2","gb|ABO11759.2|ARO:3004573|Acinetobacter",80,93,5.67e-251,425,85,0,0,457,23,447,429,5,429,"k141_260671_length_86944_cov_55.8816",2,197,1570,-1,220,2017,"","fosfomycin","fosfomycin__Acinetobacter baumannii AbaF","Acinetobacter baumannii AbaF","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_78246_length_75847_cov_21.7705_52","gi|851910511|ref|WP_048215018.1|",89.3,99.8,1.57e-258,412,44,0,0,413,1,412,413,1,412,"k141_78246_length_75847_cov_21.7705",52,46098,47339,-1,46099,47751,"","multidrug","multidrug__mdtM","mdtM","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_467000_length_71440_cov_97.0568_3","YP_001178170",80.4,99.3,1.32e-159,271,53,0,0,273,1,271,273,1,271,"k141_467000_length_71440_cov_97.0568",3,1456,2277,1,1457,2548,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_114621_length_52115_cov_16.1387_23","BAH65866",100,100,2.66e-277,394,0,0,0,394,1,394,394,1,394,"k141_114621_length_52115_cov_16.1387",23,20688,21872,1,20689,22266,"","multidrug","multidrug__emrD","emrD","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_355594_length_47557_cov_51.0000_2","CP000647.1.gene444.p01",99.7,100,6.5e-275,397,1,0,0,397,1,397,397,1,397,"k141_355594_length_47557_cov_51.0000",2,2794,3987,-1,2795,4384,"multicomponent system","multidrug","multidrug__Klebsiella pneumoniae acrA","Klebsiella pneumoniae acrA","Efflux pump","","","Yes","Yes","Yes"
"k141_355594_length_47557_cov_51.0000_17","gi|896190680|ref|WP_049199932.1|",80.3,99.3,2.64e-306,554,109,0,0,558,1,554,563,1,554,"k141_355594_length_47557_cov_51.0000",17,19465,21141,-1,19466,21695,"two-component system","polymyxin","polymyxin__rosB","rosB","Efflux pump","","","Yes","Yes","Yes"
"k141_355594_length_47557_cov_51.0000_18","YP_001477378",80.3,94.8,4.55e-215,386,75,1,1,406,22,406,406,20,405,"k141_355594_length_47557_cov_51.0000",18,21367,22587,-1,21389,22993,"two-component system","polymyxin","polymyxin__rosA","rosA","Efflux pump","","","Yes","Yes","Yes"
"k141_269824_length_43567_cov_28.9819_15","CP001138.1.gene3995.p01",95.2,100,1.06e-267,394,19,0,0,394,1,394,394,1,394,"k141_269824_length_43567_cov_28.9819",15,16335,17519,1,16336,17913,"","multidrug","multidrug__emrD","emrD","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_122547_length_41574_cov_15.0000_18","CP001918.1.gene3442.p01",83.3,96.6,1.07e-263,454,76,0,0,470,15,468,457,1,454,"k141_122547_length_41574_cov_15.0000",18,24948,26360,1,24963,26828,"multicomponent system","multidrug","multidrug__mdtE","mdtE","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_181860_length_39727_cov_11.9964_36","gi|694076105|ref|WP_032421853.1|",99.8,100,0,1036,2,0,0,1036,1,1036,1036,1,1036,"k141_181860_length_39727_cov_11.9964",36,35666,38776,1,35667,39812,"multicomponent system","multidrug","multidrug__acrF","acrF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_143184_length_39580_cov_30.9681_12","gb|AJE60855.1|ARO:3003209|FosA5",97.1,99.3,8.05e-100,139,4,0,0,140,1,139,139,1,139,"k141_143184_length_39580_cov_30.9681",12,14076,14498,1,14077,14637,"","fosfomycin","fosfomycin__FosA5","FosA family","Enzymatic inactivation","thiol transferase","","Yes","Yes","Yes"
"k141_78186_length_35875_cov_10.0000_24","gb|AAP43109.1|ARO:3003922|oqxA",99.7,100,3.2e-272,391,1,0,0,391,1,391,391,1,391,"k141_78186_length_35875_cov_10.0000",24,24909,26084,1,24910,26475,"multicomponent system","multidrug","multidrug__oqxA","oqxA","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_78186_length_35875_cov_10.0000_25","gb|AAP43110.2|ARO:3003923|oqxB",99.6,100,0,1050,4,0,0,1050,1,1050,1050,1,1050,"k141_78186_length_35875_cov_10.0000",25,26108,29260,1,26109,30310,"multicomponent system","multidrug","multidrug__oqxB","oqxB","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_420414_length_33439_cov_19.0000_2","gi|1001786599|ref|WP_061324791.1|",82.1,98.2,1.52e-305,548,98,0,0,558,1,548,563,1,548,"k141_420414_length_33439_cov_19.0000",2,1248,2924,1,1249,3472,"two-component system","polymyxin","polymyxin__rosB","rosB","Efflux pump","","","Yes","Yes","Yes"
"k141_420414_length_33439_cov_19.0000_17","gi|696364907|ref|WP_032939988.1|",93.7,100,1.25e-256,397,25,0,0,397,1,397,397,1,397,"k141_420414_length_33439_cov_19.0000",17,18688,19881,1,18689,20278,"multicomponent system","multidrug","multidrug__MexE","MexE","Efflux pump","","","Yes","Yes","Yes"
"k141_420414_length_33439_cov_19.0000_18","BAC77251",82,99.8,0,1047,186,2,2,1049,1,1047,1051,1,1045,"k141_420414_length_33439_cov_19.0000",18,19904,23053,1,19905,24100,"multicomponent system","multidrug","multidrug__sdeY","sdeY","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_388639_length_33395_cov_8.0000_34","CP000647.1.gene1607.p01",100,100,2.69e-202,286,0,0,0,286,1,286,286,1,286,"k141_388639_length_33395_cov_8.0000",34,30096,30956,1,30097,31242,"","beta_lactam","beta_lactam__SHV-11","SHV","Enzymatic inactivation","Class A beta-lactamase","","Yes","Yes","Yes"
"k141_160974_length_31033_cov_12.0000_14","BAH65231",100,100,6.28e-190,273,0,0,0,273,1,273,273,1,273,"k141_160974_length_31033_cov_12.0000",14,9877,10698,1,9878,10971,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_160974_length_31033_cov_12.0000_27","gi|490278417|ref|WP_004174363.1|",100,100,0,490,0,0,0,490,1,490,490,1,490,"k141_160974_length_31033_cov_12.0000",27,24111,25583,-1,24112,26073,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_411223_length_23796_cov_17.0000_23","CP000647.1.gene3014.p01",100,100,8.49e-272,390,0,0,0,390,1,390,390,1,390,"k141_411223_length_23796_cov_17.0000",23,17560,18732,1,17561,19122,"multicomponent system","multidrug","multidrug__emrA","emrA","Efflux pump","","","Yes","Yes","Yes"
"k141_411223_length_23796_cov_17.0000_24","gi|896057666|ref|WP_049106280.1|",99.4,100,0,512,3,0,0,512,1,512,512,1,512,"k141_411223_length_23796_cov_17.0000",24,18748,20286,1,18749,20798,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_232661_length_21663_cov_19.0000_19","gi|754970141|ref|WP_042326041.1|",99.7,100,2.54e-257,390,1,0,0,390,1,390,390,1,390,"k141_232661_length_21663_cov_19.0000",19,15406,16578,1,15407,16968,"multicomponent system","multidrug","multidrug__emrA","emrA","Efflux pump","","","Yes","Yes","Yes"
"k141_232661_length_21663_cov_19.0000_20","gi|757781039|ref|WP_042999623.1|",100,100,0,512,0,0,0,512,1,512,512,1,512,"k141_232661_length_21663_cov_19.0000",20,16594,18132,1,16595,18644,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_45440_length_19839_cov_44.0000_1","gb|AAC75314.1|ARO:3003578|pmrF",89.6,100,1.22e-208,326,30,1,4,326,1,326,322,1,322,"k141_45440_length_19839_cov_44.0000",1,60,1040,1,61,1366,"","polymyxin","polymyxin__pmrF","pmrF","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_45440_length_19839_cov_44.0000_2","gi|757781454|ref|WP_043000038.1|",98.9,100,0,660,7,0,0,660,1,660,660,1,660,"k141_45440_length_19839_cov_44.0000",2,1040,3022,1,1041,3682,"","polymyxin","polymyxin__arnA","arnA","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_152860_length_19665_cov_37.9583_4","gb|AAC74000.1|ARO:3003950|msbA",91.8,100,0,582,48,0,0,582,1,582,582,1,582,"k141_152860_length_19665_cov_37.9583",4,3484,5232,1,3485,5814,"","multidrug","multidrug__msbA","msbA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_297087_length_18419_cov_25.0000_13","CP000647.1.gene911.p01",100,100,2.95e-251,371,0,0,0,371,1,371,371,1,371,"k141_297087_length_18419_cov_25.0000",13,14972,16087,1,14973,16458,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macA","macA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_297087_length_18419_cov_25.0000_14","BAH62608",99.8,100,0,646,1,0,0,646,1,646,646,1,646,"k141_297087_length_18419_cov_25.0000",14,16084,18024,1,16085,18670,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macB","macB","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_283448_length_17410_cov_41.0000_12","CP001918.1.gene3442.p01",85.3,97,1.16e-272,457,67,0,0,471,15,471,457,1,457,"k141_283448_length_17410_cov_41.0000",12,12595,14010,-1,12610,14481,"multicomponent system","multidrug","multidrug__mdtE","mdtE","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_331095_length_16341_cov_36.5197_2","gi|852273548|ref|WP_048328542.1|",82,99.9,0,1037,187,0,0,1038,1,1037,1043,1,1037,"k141_331095_length_16341_cov_36.5197",2,398,3514,1,399,4551,"multicomponent system","multidrug","multidrug__MexD","MexD","Efflux pump","","","Yes","Yes","Yes"
"k141_319886_length_16141_cov_11.0170_10","gb|AAC75089.1|ARO:3003577|ugd",83,100,3.11e-234,388,66,0,0,388,1,388,388,1,388,"k141_319886_length_16141_cov_11.0170",10,14455,15621,-1,14456,16009,"","polymyxin","polymyxin__ugd","ugd","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_347533_length_15638_cov_47.0196_6","YP_001669149",95.3,100,2.37e-191,276,13,0,0,276,1,276,276,1,276,"k141_347533_length_15638_cov_47.0196",6,2538,3368,-1,2539,3644,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_140427_length_14793_cov_6.0000_16","gi|763401125|ref|WP_044258032.1|",100,100,3.88e-290,402,0,0,0,402,1,402,402,1,402,"k141_140427_length_14793_cov_6.0000",16,11515,12723,1,11516,13125,"","multidrug","multidrug__mdtH","mdtH","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_359107_length_10819_cov_17.0000_8","gi|1031849806|ref|WP_064172465.1|",99.8,100,9.13e-289,402,1,0,0,402,1,402,402,1,402,"k141_359107_length_10819_cov_17.0000",8,7943,9151,1,7944,9553,"","multidrug","multidrug__mdtH","mdtH","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_259462_length_10146_cov_7.0000_2","ACB17400",92.4,100,2.32e-270,410,31,0,0,410,1,410,410,1,410,"k141_259462_length_10146_cov_7.0000",2,903,2135,1,904,2545,"","multidrug","multidrug__Escherichia coli mdfA","Escherichia coli mdfA","Efflux pump","","","Yes","Yes","Yes"
"k141_335460_length_9928_cov_11.0000_8","AF140221.1.gene1.p1",89,94.2,7.38e-94,146,16,0,0,155,5,150,153,5,150,"k141_335460_length_9928_cov_11.0000",8,6355,6822,1,6360,6972,"","aminoglycoside","aminoglycoside__AAC(6')-Iz","AAC(6')-Iz","Enzymatic inactivation","Acetyltransferases","AAC(6')","Yes","Yes","Yes"
"k141_393243_length_9926_cov_7.0000_4","gi|757782629|ref|WP_043001213.1|",99.8,100,0,648,1,0,0,648,1,648,648,1,648,"k141_393243_length_9926_cov_7.0000",4,2467,4413,-1,2468,5061,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macB","macB","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_393243_length_9926_cov_7.0000_5","gi|835330222|ref|WP_047457828.1|",91.7,100,7.19e-234,372,30,1,1,372,1,372,371,1,371,"k141_393243_length_9926_cov_7.0000",5,4410,5528,-1,4411,5900,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macA","macA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_424514_length_9292_cov_8.0000_4","gb|AAC75271.1|ARO:3003952|yojI",83.9,100,0,547,88,0,0,547,1,547,547,1,547,"k141_424514_length_9292_cov_8.0000",4,4324,5967,-1,4325,6514,"","other_peptide_antibiotics","other_peptide_antibiotics__microcin efflux pumu gene yojI","microcin efflux pumu gene yojI","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_375502_length_9174_cov_17.0000_3","CAG34264",87.6,100,6.6e-230,395,48,1,1,395,1,395,394,1,394,"k141_375502_length_9174_cov_17.0000",3,2399,3586,1,2400,3981,"multicomponent system","multidrug","multidrug__smeD","smeD","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_375502_length_9174_cov_17.0000_4","gi|916992013|ref|WP_051598725.1|",92.4,100,0,1062,78,1,3,1059,1,1059,1062,1,1062,"k141_375502_length_9174_cov_17.0000",4,3599,6778,1,3600,7837,"multicomponent system","multidrug","multidrug__smeE","smeE","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_375502_length_9174_cov_17.0000_5","CAG34251",89.4,100,1.07e-286,461,49,0,0,461,1,461,466,6,466,"k141_375502_length_9174_cov_17.0000",5,6771,8156,1,6772,8617,"multicomponent system","multidrug","multidrug__smeF","smeF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_67749_length_8925_cov_51.5041_5","CAY51926",88.5,98.6,0,1007,116,0,0,1021,1,1007,1008,1,1007,"k141_67749_length_8925_cov_51.5041",5,1916,4981,-1,1917,5988,"multicomponent system","multidrug","multidrug__mexW","mexW","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
